strain	clade
a/whitepeafowl/bangkok/thailand/cu_16/04|h5n1|DQ083564|tropical|southeast_asia|thailand|whitepeafowl|white_peafowl|galliforme|avian|2004-XX-XX|2004	1
a/chicken/suphanburi/1/2004|h5n1|AB440324|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/chicken/vietnam/ncvd12/2005|h5n1|CY035898|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bba3011m/2005|h5n1|DQ990003|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/duck/phangnga/niah181/2004|h5n1|AB450553|tropical|southeast_asia|thailand|duck|duck|anseriforme|avian|2004-XX-XX|2004	1
a/ck/thailand/73/2004|h5n1|DQ076201|tropical|southeast_asia|thailand|ck||other|avian|2004-XX-XX|2004	1
a/chicken/thailand/ku14/2004|h5n1|JN634875|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/chicken/nakhonsawan/niah01502/2004|h5n1|AB450559|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/chicken/vietnam/tn_025/2004|h5n1|DQ099755|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/duck/vietnam/ncvdcdc9/2005|h5n1|GU186656|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/openbillstork/thailand/vsmu_12_bkk/2003|h5n1|HM627945|tropical|southeast_asia|thailand|openbillstork|open-billed_stork|neoave|avian|2003-12-30|2003-12-30	1
a/chicken/thailand/kamphaengphet/niah6_3_0008/2005|h5n1|FJ265574|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/vietnam/hn30408/2005|h5n1|EF456803|tropical|southeast_asia|vietnam|human|human|human|human|2005-XX-XX|2005	1
a/treesparrow/thailand/vsmu_12_kri/2005|h5n1|AB450575|tropical|southeast_asia|thailand|treesparrow|tree_sparrow|neoave|avian|2005-XX-XX|2005	1
a/hanoi/30408/2005|h5n1|AB239125|tropical|southeast_asia|vietnam|human|human|human|human|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bbd3516m/05|h5n1|EF112290|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/tiger/thailand/cu_t4/04|h5n1|AY972539|tropical|southeast_asia|thailand|tiger|nonhuman_mammal|nonhuman_mammal|nonhuman_mammal|2004-XX-XX|2004	1
a/quail/phathumthani/niah2711/2004|h5n1|AB450554|tropical|southeast_asia|thailand|quail|quail|galliforme|avian|2004-XX-XX|2004	1
a/treesparrow/thailand/vsmu_14_kri/2005|h5n1|AB450576|tropical|southeast_asia|thailand|treesparrow|tree_sparrow|neoave|avian|2005-XX-XX|2005	1
a/chicken/vietnam/2/2005|h5n1|CY016835|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/duck/vietnam/tg_007a/2004|h5n1|DQ099756|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2004-XX-XX|2004	1
a/duck/vietnam/5004/2005|h5n1|EU118130|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/chicken/thailand/phitsanulok/niah6_3_0012/2005|h5n1|FJ265571|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bba2611m/05|h5n1|EF112284|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bbd0104f/2004|h5n1|DQ989961|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2004-XX-XX|2004	1
a/egret/hongkong/757.2/2002|h5n1|GU052494|northern_hemisphere|china|hong_kong|egret|egret|neoave|avian|2002-XX-XX|2002	1
a/duck/vietnam/ncvd04/2005|h5n1|EF566201|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/chicken/laos/7191/2004|h5n1|EF541413|tropical|southeast_asia|laos|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/thailand/sp83/2004|h5n1|EF541410|tropical|southeast_asia|thailand|human|human|human|human|2004-XX-XX|2004	1
a/chicken/uthaithani/niah6_3_0007/2005|h5n1|FJ265572|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/mynas/ranong/thailand/cu_209/04|h5n1|DQ083585|tropical|southeast_asia|thailand|mynas|myna|neoave|avian|2004-XX-XX|2004	1
a/tiger/thailand/cu_t7/2004|h5n1|AY866475|tropical|southeast_asia|thailand|tiger|nonhuman_mammal|nonhuman_mammal|nonhuman_mammal|2004-XX-XX|2004	1
a/duck/vietnam/ncvd05/2005|h5n1|EF566204|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bba0627may/05|h5n1|EF112292|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/chicken/vietnam/ncvd11/2005|h5n1|CY036719|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/chicken/vietnam/dt171/2004|h5n1|DQ099759|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/duck/vietnam/mb2/2007|h5n1|JX021299|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2007-02-20|2007-02-20	1
a/chicken/vietnam/tg_023/2004|h5n1|DQ099758|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/tiger/suphanburi/thailand/ti_1/04|h5n1|AY646167|tropical|southeast_asia|thailand|tiger|nonhuman_mammal|nonhuman_mammal|nonhuman_mammal|2004-XX-XX|2004	1
a/pigeon/thailand/1b/2004|h5n1|GU052433|tropical|southeast_asia|thailand|pigeon|pigeon|neoave|avian|2004-XX-XX|2004	1
a/gray_crowedcrane/thailand/vsmu_4_cbi/2005|h5n1|EF206696|tropical|southeast_asia|thailand|gray_crowedcrane|gray_crowedcrane|other|avian|2005-XX-XX|2005	1
a/chicken/uthaithani/niah115067/2008|h5n1|FJ743696|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2008-11-XX|2008-11	1
a/duck/vietnam/7a/2004|h5n1|CY031172|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2004-XX-XX|2004	1
a/vietnam/jphn30321/2005|h5n1|EF456802|tropical|southeast_asia|vietnam|human|human|human|human|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bbd1621j/05|h5n1|EF112275|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/brown_headgull/thailand/vsmu_4/2008|h5n1|EU676325|tropical|southeast_asia|thailand|brown_headgull|brown_headgull|other|avian|2008-XX-XX|2008	1
a/duck/vietnam/ncvd06/2005|h5n1|CY034774|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/chicken/phichit/niah600674/2008|h5n1|EU919138|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2008-01-XX|2008-01	1
a/hatay/2004/|h5n1|AJ867074|tropical|southeast_asia|vietnam|avian|bird|other|avian|2004-XX-XX|2004	1
a/duck/vietnam/5001/2005|h5n1|EU118128|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/quail/thailand/cu_331/06|h5n1|EU616859|tropical|southeast_asia|thailand|quail|quail|galliforme|avian|2006-XX-XX|2006	1
a/duck/vietnam/5003/2005|h5n1|EU118129|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bbd3009m/05|h5n1|EF112280|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/chicken/vietnam/925/2004|h5n1|CY036703|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/duck/vietnam/20/2005|h5n1|CY016891|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/thailand/chaiyaphum/622/2004|h5n1|EF541417|tropical|southeast_asia|thailand|thailand|human|human|human|2004-XX-XX|2004	1
a/chicken/angthong/niah101204/2007|h5n1|EU919140|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2007-XX-XX|2007	1
a/cambodia/jp52a/2005|h5n1|EF456805|tropical|southeast_asia|cambodia|human|human|human|human|2005-XX-XX|2005	1
a/duck/vietnam/19/2005|h5n1|CY017187|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/chicken/vietnam/8/2005|h5n1|CY016851|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/duck/vietnam/haugiang680f/2005|h5n1|EU124172|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-12-17|2005-12-17	1
a/chicken/thailand/kamphaengphet/niah6_3_0010/2005|h5n1|FJ265576|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/chicken/thailand/sukhothai/niah6_3_0013/2005|h5n1|FJ265577|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/chicken/vietnam/g04/2004|h5n1|EU118132|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/quail/vietnam/7b/2004|h5n1|CY094847|tropical|southeast_asia|vietnam|quail|quail|galliforme|avian|2004-XX-XX|2004	1
a/duck/vietnam/5082/2005|h5n1|EU118131|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	1
a/chicken/vietnam/1/2004|h5n1|EF541409|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/open_billedstork/nakhonsawan/bbd2616f/2005|h5n1|DQ989995|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/duck/angthong/72/2004|h5n1|AB440325|tropical|southeast_asia|thailand|duck|duck|anseriforme|avian|2004-XX-XX|2004	1
a/quail/thailand/cu_332/06|h5n1|EU616867|tropical|southeast_asia|thailand|quail|quail|galliforme|avian|2006-XX-XX|2006	1
a/open_billedstork/nakhonsawan/bbd2416f/05|h5n1|EF112279|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/chicken/kalasin/niah316/2004|h5n1|AB450550|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/chicken/saraburithailand/cu_17/2004|h5n1|DQ083565|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/chicken/thailand/st_351/2008|h5n1|FJ868014|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2008-XX-XX|2008	1
a/chicken/vietnam/933/2004|h5n1|CY036711|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/chicken/vietnam/ld_080/2004|h5n1|DQ099760|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/chicken/vietnam/ncvd31/2004|h5n1|EF541406|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-01-05|2004-01-05	1
a/chicken/narathiwat/niah1703/2004|h5n1|AB450556|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/thailand/nbl1/2006|h5n1|KJ907478|tropical|southeast_asia|thailand|human|human|human|human|2006-08-10|2006-08-10	1
a/open_billedstork/nakhonsawan/bbd3616m/05|h5n1|EF112291|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/open_billedstork/nakhonsawan/bbd4011m/05|h5n1|EF112287|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/pigeon/thailand/ts01/2007|h5n1|JQ794478|tropical|southeast_asia|thailand|pigeon|pigeon|neoave|avian|2007-XX-XX|2007	1
a/open_billedstork/nakhonsawan/bba2811m/05|h5n1|EF112285|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/thailand/1(kan_1a)/2004|h5n1|EF107522|tropical|southeast_asia|thailand|human|human|human|human|2004-XX-XX|2004	1
a/duck/vietnam/367/2005|h5n1|EF566215|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-05-08|2005-05-08	1
a/littlegrebe/thailand/phichit_01/2004|h5n1|AY553802|tropical|southeast_asia|thailand|littlegrebe|little_grebe|neoave|avian|2004-XX-XX|2004	1
a/duck/cambodia/d14al/2006|h5n1|HQ200450|tropical|southeast_asia|cambodia|duck|duck|anseriforme|avian|2006-02-04|2006-02-04	1
a/vietnam/1194/2004|h5n1|EF541402|tropical|southeast_asia|vietnam|human|human|human|human|2004-XX-XX|2004	1
a/unknown/prachinburi(thailand)/6231/2004|h5n1|GU186640|tropical|southeast_asia|thailand|unknown|unknown|unknown|unknown|2004-XX-XX|2004	1
a/duck/cambodia/d1kp/2006|h5n1|HQ200593|tropical|southeast_asia|cambodia|duck|duck|anseriforme|avian|2006-XX-XX|2006	1
a/chicken/suphanburi/niah108192/2005|h5n1|AB450565|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/chicken/malaysia/5744/2004|h5n1|KC684446|tropical|southeast_asia|malaysia|chicken|chicken|galliforme|avian|2004-08-17|2004-08-17	1
a/sparrow/thailand/phitsanulok_01/2004|h5n1|FJ265567|tropical|southeast_asia|thailand|sparrow|sparrow|neoave|avian|2004-XX-XX|2004	1
a/chicken/thailand/icrc_195/2007|h5n1|EU497920|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2007-XX-XX|2007	1
a/chicken/phichit/niah1/2006|h5n1|EU919137|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2006-XX-XX|2006	1
a/vietnam/jp178/2004|h5n1|EF456795|tropical|southeast_asia|vietnam|human|human|human|human|2004-08-XX|2004-08	1
a/quail/thailand/nakhonpathom/qa_161/2005|h5n1|DQ334768|tropical|southeast_asia|thailand|quail|quail|galliforme|avian|2005-XX-XX|2005	1
a/pigeon/thailand/vsmu_13_kri/2005|h5n1|AB450574|tropical|southeast_asia|thailand|pigeon|pigeon|neoave|avian|2005-XX-XX|2005	1
a/chicken/vietnam/890/2004|h5n1|CY034206|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/tiger/thailand/vsmu_1_spb/2004|h5n1|AY834279|tropical|southeast_asia|thailand|tiger|nonhuman_mammal|nonhuman_mammal|nonhuman_mammal|2004-XX-XX|2004	1
a/chicken/phichit/niah606988/2006|h5n1|AB450568|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2006-XX-XX|2006	1
a/open_billedstork/nakhonsawan/bbd3309m/05|h5n1|EF112282|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/duck/vietnam/soctrang680g/2005|h5n1|EU124171|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-12-17|2005-12-17	1
a/chicken/vietnam/ty9/2005|h5n1|EU118134|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
a/openbillstork/thailand/vsmu_4_nsn/2004|h5n1|HM627913|tropical|southeast_asia|thailand|openbillstork|open-billed_stork|neoave|avian|2004-02-05|2004-02-05	1
a/chicken/loei/niah2373/2004|h5n1|AB450557|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
